Genes	Modules
ENSMUSG00000119584	grey
ENSMUSG00000136525	grey
ENSMUSG00000140457	grey
ENSMUSG00000000563	darkorange
ENSMUSG00000000740	darkorange
ENSMUSG00000001158	darkorange
ENSMUSG00000001289	darkorange
ENSMUSG00000001794	darkorange
ENSMUSG00000002233	darkorange
ENSMUSG00000002274	darkorange
ENSMUSG00000003072	darkorange
ENSMUSG00000003429	darkorange
ENSMUSG00000003955	darkorange
ENSMUSG00000003970	darkorange
ENSMUSG00000004264	darkorange
ENSMUSG00000004268	darkorange
ENSMUSG00000004285	darkorange
ENSMUSG00000004558	darkorange
ENSMUSG00000004897	darkorange
ENSMUSG00000005161	darkorange
ENSMUSG00000005510	darkorange
ENSMUSG00000005575	darkorange
ENSMUSG00000005779	darkorange
ENSMUSG00000006299	darkorange
ENSMUSG00000006304	darkorange
ENSMUSG00000006333	darkorange
ENSMUSG00000007041	darkorange
ENSMUSG00000007892	darkorange
ENSMUSG00000008682	darkorange
ENSMUSG00000008683	darkorange
ENSMUSG00000009013	darkorange
ENSMUSG00000009927	darkorange
ENSMUSG00000012405	darkorange
ENSMUSG00000012848	darkorange
ENSMUSG00000013160	darkorange
ENSMUSG00000014313	darkorange
ENSMUSG00000014769	darkorange
ENSMUSG00000016252	darkorange
ENSMUSG00000016541	darkorange
ENSMUSG00000017404	darkorange
ENSMUSG00000017778	darkorange
ENSMUSG00000018293	darkorange
ENSMUSG00000018567	darkorange
ENSMUSG00000018593	darkorange
ENSMUSG00000018677	darkorange
ENSMUSG00000018770	darkorange
ENSMUSG00000019087	darkorange
ENSMUSG00000019179	darkorange
ENSMUSG00000019471	darkorange
ENSMUSG00000019804	darkorange
ENSMUSG00000020088	darkorange
ENSMUSG00000020163	darkorange
ENSMUSG00000020205	darkorange
ENSMUSG00000020267	darkorange
ENSMUSG00000020277	darkorange
ENSMUSG00000020372	darkorange
ENSMUSG00000020440	darkorange
ENSMUSG00000020460	darkorange
ENSMUSG00000020766	darkorange
ENSMUSG00000021024	darkorange
ENSMUSG00000021242	darkorange
ENSMUSG00000021520	darkorange
ENSMUSG00000021807	darkorange
ENSMUSG00000022257	darkorange
ENSMUSG00000022354	darkorange
ENSMUSG00000022370	darkorange
ENSMUSG00000022400	darkorange
ENSMUSG00000022427	darkorange
ENSMUSG00000022433	darkorange
ENSMUSG00000022437	darkorange
ENSMUSG00000022450	darkorange
ENSMUSG00000022635	darkorange
ENSMUSG00000022982	darkorange
ENSMUSG00000023004	darkorange
ENSMUSG00000023048	darkorange
ENSMUSG00000023175	darkorange
ENSMUSG00000023367	darkorange
ENSMUSG00000023456	darkorange
ENSMUSG00000024038	darkorange
ENSMUSG00000024099	darkorange
ENSMUSG00000024248	darkorange
ENSMUSG00000024387	darkorange
ENSMUSG00000024583	darkorange
ENSMUSG00000024608	darkorange
ENSMUSG00000024914	darkorange
ENSMUSG00000024953	darkorange
ENSMUSG00000025290	darkorange
ENSMUSG00000025351	darkorange
ENSMUSG00000025362	darkorange
ENSMUSG00000025492	darkorange
ENSMUSG00000025508	darkorange
ENSMUSG00000025651	darkorange
ENSMUSG00000025781	darkorange
ENSMUSG00000025794	darkorange
ENSMUSG00000025967	darkorange
ENSMUSG00000026003	darkorange
ENSMUSG00000026223	darkorange
ENSMUSG00000026260	darkorange
ENSMUSG00000026701	darkorange
ENSMUSG00000026755	darkorange
ENSMUSG00000027406	darkorange
ENSMUSG00000027447	darkorange
ENSMUSG00000027523	darkorange
ENSMUSG00000027566	darkorange
ENSMUSG00000027797	darkorange
ENSMUSG00000028081	darkorange
ENSMUSG00000028234	darkorange
ENSMUSG00000028367	darkorange
ENSMUSG00000028419	darkorange
ENSMUSG00000028478	darkorange
ENSMUSG00000028495	darkorange
ENSMUSG00000028798	darkorange
ENSMUSG00000028822	darkorange
ENSMUSG00000028851	darkorange
ENSMUSG00000028936	darkorange
ENSMUSG00000028943	darkorange
ENSMUSG00000028964	darkorange
ENSMUSG00000028998	darkorange
ENSMUSG00000029304	darkorange
ENSMUSG00000029462	darkorange
ENSMUSG00000029465	darkorange
ENSMUSG00000029614	darkorange
ENSMUSG00000029622	darkorange
ENSMUSG00000029623	darkorange
ENSMUSG00000029642	darkorange
ENSMUSG00000029649	darkorange
ENSMUSG00000029713	darkorange
ENSMUSG00000029718	darkorange
ENSMUSG00000029810	darkorange
ENSMUSG00000030120	darkorange
ENSMUSG00000030417	darkorange
ENSMUSG00000030432	darkorange
ENSMUSG00000030647	darkorange
ENSMUSG00000030695	darkorange
ENSMUSG00000030751	darkorange
ENSMUSG00000030842	darkorange
